Listing_Id,Listing_Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,Accomodates,Total_bedrooms,Total_beds,Availability_365,Price,Extra_people,Guests_included,Total_reviews,Review_scores,Amenities,Host_id,Host_name,Country,Longitude,Latitude,Neighbourhood,Listing_count
10006546,Ribeira Charming Duplex,House,Entire home/apt,Real Bed,2,30,8,3.0,5.0,239,80.0,15.0,6.0,51,89,"TV, Cable TV, Wifi, Kitchen, Paid parking off premises, Smoking allowed, Pets allowed, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, First aid kit, Fire extinguisher, Essentials, Hangers, Hair dryer, Iron, Pack ’n Play/travel crib, Room-darkening shades, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Cleaning before checkout, Waterfront",51399391,Ana&Gonçalo,Portugal,-8.61308,41.1413,Not Available,3
10009999,Horto flat with small garden,Apartment,Entire home/apt,Real Bed,2,1125,4,1.0,2.0,0,317.0,0.0,1.0,0,95,"Wifi, Wheelchair accessible, Kitchen, Free parking on premises, Smoking allowed, Hot tub, Buzzer/wireless intercom, Family/kid friendly, Washer, First aid kit, Essentials, Hangers, Hair dryer, Iron, Laptop friendly workspace",1282196,Ynaie,Brazil,-43.23074991429229,-22.966253551739655,Jardim Botânico,1
1001265,Ocean View Waikiki Marina w/prkg,Condominium,Entire home/apt,Real Bed,3,365,2,1.0,1.0,343,115.0,0.0,1.0,96,84,"TV, Cable TV, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Elevator, Hot tub, Washer, Dryer, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Hot water, Bed linens, Extra pillows and blankets, Ethernet connection, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Stove, BBQ grill, Garden or backyard, Well-lit path to entrance, Disabled parking spot, Step-free access, Wide clearance to bed, Step-free access",5448114,David,United States,-157.83919,21.28634,Waikiki,18
10021707,Private Room in Bushwick,Apartment,Private room,Real Bed,14,1125,1,1.0,1.0,0,40.0,0.0,1.0,1,100,"Internet, Wifi, Air conditioning, Kitchen, Buzzer/wireless intercom, Heating, Smoke detector, Carbon monoxide detector, Essentials, Lock on bedroom door",11275734,Josh,United States,-73.93615,40.69791,Bushwick,1
10030955,Apt Linda Vista Lagoa - Rio,Apartment,Private room,Real Bed,1,1125,2,1.0,1.0,363,701.0,0.0,1.0,0,95,"TV, Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Doorman, Gym, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Essentials, 24-hour check-in",51496939,Livia,Brazil,-43.205047082633435,-22.971950988341874,Lagoa,1
1003530,New York City - Upper West Side Apt,Apartment,Private room,Real Bed,12,360,2,1.0,1.0,93,135.0,0.0,1.0,70,94,"Internet, Wifi, Air conditioning, Kitchen, Elevator, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Dryer, translation missing: en.hosting_amenity_50",454250,Greta,United States,-73.96523,40.79962,Not Available,3
10038496,Copacabana Apartment Posto 6,Apartment,Entire home/apt,Real Bed,3,75,4,1.0,3.0,118,119.0,40.0,3.0,70,98,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Paid parking off premises, Smoking allowed, Doorman, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Fire extinguisher, Essentials, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Oven, Stove, Long term stays allowed, Wide hallway clearance, Host greets you",51530266,Ana Valéria,Brazil,-43.190849194463404,-22.984339360067814,Copacabana,2
10047964,Charming Flat in Downtown Moda,House,Entire home/apt,Real Bed,2,1125,6,2.0,6.0,362,527.0,211.0,1.0,1,100,"TV, Cable TV, Internet, Wifi, Kitchen, Free parking on premises, Pets allowed, Pets live on this property, Cat(s), Heating, Family/kid friendly, Washer, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace",1241644,Zeynep,Turkey,29.03133,40.98585,Moda,2
10051164,Catete's Colonial Big Hause Room B,House,Private room,Real Bed,2,1125,8,1.0,8.0,296,250.0,40.0,4.0,1,80,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Smoking allowed, Family/kid friendly, First aid kit, Fire extinguisher, Essentials",51326285,Beatriz,Brazil,-43.18015675229857,-22.92638234778768,Catete,5
10057447,Modern Spacious 1 Bedroom Loft,Apartment,Entire home/apt,Real Bed,1,1125,4,1.0,2.0,0,50.0,31.0,1.0,0,95,"Internet, Wifi, Kitchen, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Iron, Laptop friendly workspace",51612949,Konstantin,Canada,-73.59111,45.51889,Mile End,1
